LABEL	NAME	TIER	IGNORE_CASE	REGEX	NOTES
1	otc_drugs	4	1	\b(mouth wash|eye drop|toe cream|stool softener)[es]*\b	
1	insulin_pos	4	1	(lantus [(] insulin glargine [)]|NPH\s*(with)*insulin|insulin (NPH|regular)*\s*(aspart|human)|insulin(\s+(NPH|lispro|regular|regimen|drip|lente|[0-9]+/[0-9]+))*)	
1	insulin_pos	4	1	(((NPH )*humulin|regular|human|lantus|NPH) )*insulin	
1	insulin_pos	4	1	(insulin [0-9]+/[0-9]+( human)*)	
1	insulin_pos	4	1	(insulin\s*NPH|NPH(\s*humulin)*\s*insulin|NPH)	
0	insulin_neg	4	1	(insulin[- ]dependent)	
0	insulin_neg	4	1	((non[- ]*)*insulin[- ]dependent([ ,](diabetes mellitus|diabetes|hypothyroidism))*|non[- ]*insulin|insulin sliding scale)	
1	drugs_1	4	1	(CCB|KCL)	
1	drugs_1	4	1	(vancomycin|levofloxacin|flagyl|iron supplementation)	
1	drugs_1	4	1	(KCL\s*(IMMEDIATE|SLOW)\s*(RELEASE|REL[.]*)|asa)	
1	drugs_1	4	1	(KCL|potassium chloride)\s*(immediate|slow)\s*(release|rel[.]*)	
1	drugs_1	4	1	(chemotherapy|chemo)( regimen[s]*)*	
1	drugs_1	4	1	\b(ACEi|ACE INHIBITORS)\b	
1	drugs_1	4	1	(metamucil\s*(sugar free)*)	
1	drugs_1	4	1	(prednisolone [0-9]{1,2}[%])	
1	drugs_1	4	1	(red blood|red blood cell|rbc|platelet) transfusion[s]*	
1	drugs_1	4	1	(b|beta)[-]*blocker[s]*	
1	drugs_1	4	1	(cardiac|cardiovascular|diabetes|immunosuppressive|pain|copd|(blood\s*)*pressure|oral|outpatient|home|these|your|pressor|pressure)\s*(med(ication|icine)*[s]*)	
1	drugs_1	4	1	(metoprolol xl|kcl immediate release)	
1	vitamin_pos	4	1	(vitamin|vit[.]*)[s]*[- ][abcde][-]*[1-3]*	
0	vitamin_neg	4	1	no ([A-Za-z]+\s*){1,2}(vitamin|vit[.]*)[s]*[- ][abcdek][-]*[1-3]*	          
0	non_drugs	4	1	[0-9]*\s*(to|[-])\s*[0-9]*\s*(red blood cell[s]*)	
0	non_drugs	4	1	(medication[s]*)	Generic mentions of medications
0	non_drugs	4	1	(potassium chloride policy|(cardiac|adenosine|guanosine)[- ]*mibi|mibi)	Drug/chemical mention but not as a prescribed drug
0	non_drugs	4	1	(o2|oxygen) (saturation|sat)(s)*(\s*[0-9]+[%]*)*	Oxygen saturation
0	non_drugs	4	1	((allergy|allergies)\s*[:]\s*([A-Za-z]+[ ,]*)+)	Allergies
0	non_drugs	4	1	(([A-Za-z]+)\s*){1,2}\s*(cause(s|d)*)\s*([A-Za-z]+)*\s*(rash|headache|nausea|swelling|bleeding|reaction)+	Allergies
0	non_drugs	4	1	((non[- ]*)*insulin[- ]dependent([ ,](diabetes mellitus|diabetes|hypothyroidism))*|non[- ]*insulin|insulin sliding scale)	diabetes-related insulin mentions
