LABEL	NAME	TIER	IGNORE_CASE	REGEX	NOTES
2	regex_before_left	1	1	several weeks prior	
2	regex_before_left	1	1	on previous exam	
2	regex_before_left	1	1	resolved	
2	regex_before_left	1	1	(on |from )?(previous|prior) exam	
2	regex_before_left	1	1	documented	
2	regex_before_left	1	1	sequelae of	
2	regex_before_left	1	1	was diagnosed	
2	regex_before_left	1	1	has recovered from	
1	regex_before_overlap_left	1	1	has been \b.+ing\b	
1	regex_before_overlap_left	1	1	has continued	
1	regex_before_overlap_left	1	1	has developed	
1	regex_before_overlap_left	1	1	have developed	
1	regex_before_overlap_left	1	1	has experienced	
1	regex_before_overlap_left	1	1	has maintained	
1	regex_before_overlap_left	1	1	has remained	
1	regex_before_overlap_left	1	1	has tolerated	
1	regex_before_overlap_left	1	1	no change	
1	regex_before_overlap_left	1	1	no major change	
1	regex_before_overlap_left	1	1	no known cancer(s)?	
1	regex_before_overlap_left	1	1	\b(she|he)\b does note	
1	regex_before_overlap_left	1	1	\b(she|he)\b continues to (have|be)?	
1	regex_before_overlap_left	1	1	\b(she|he)\b has continued 	
1	regex_before_overlap_left	1	1	\b(she|he)\b.+recovering	
1	regex_before_overlap_left	1	1	is continuing to recover	
1	regex_before_overlap_left	1	1	\bis\b.+smoker	
1	regex_before_overlap_left	1	1	recurrent episodes of	
3	regex_after_left	1	1	\b(is scheduled)\b	
3	regex_after_left	1	1	\b(will be)\b	
3	regex_after_left	1	1	\b(will proceed)\b	
3	regex_after_left	1	1	\b(will.+meet)\b	
3	regex_after_left	1	1	\b(will contact)\b	
3	regex_after_left	1	1	\b(going to)\b	
3	regex_after_left	1	1	\b(once.+obtained)\b	
3	regex_after_left	1	1	\b(once these are obtained)\b	
3	regex_after_left	1	1	\b(evaluated for|upcoming|would benefit from|(undergo|requires) a)\b	
3	regex_after_left	1	1	\b(if possible)\b	
3	regex_after_left	1	1	\b(an approach would be)\b	
3	regex_after_left	1	1	\b((she|he) would require)\b	
3	regex_after_left	1	1	\b(i would discuss)\b	
3	regex_after_left	1	1	\b(we would (be|arrange|set))\b	
3	regex_after_left	1	1	\b(it would be)\b	
3	regex_after_left	1	1	\b(suggestion for)\b	
3	regex_after_left	1	1	"patient should (\b[a-z]+\b\s){1,2}follow"	
3	regex_after_left	1	1	\b(we will proceed)\b	
3	regex_after_left	1	1	\b(assuming)\s+(you|she|he)\b	
3	regex_after_left	1	1	\b(candidate for|pending)\b	
3	regex_after_left	1	1	\b(please call or return (for|if))\b	
2	word_list_before	1	1	demonstrated	
0	word_list_overlap	1	1	arranged	
0	word_list_overlap	1	1	consented	
0	word_list_overlap	1	1	plan	
0	word_list_overlap	1	1	requested	
0	word_list_overlap	1	1	scheduled	
0	word_sections_overlap	1	1	# basilic vein thrombosis:	
0	word_sections_overlap	1	1	-will discuss with dr. ballard re:	
0	word_sections_overlap	1	1	"a.	colon, ascending total abdominal colectomy:"	
0	word_sections_overlap	1	1	"a.	colon, total abdominal colectomy:"	
0	word_sections_overlap	1	1	"a. serosa, small bowel implant, biopsy:"	
0	word_sections_overlap	1	1	abdm:	
0	word_sections_overlap	1	1	abdomen and pelvis:	
