TERM	TAG
A.A.A.	NN
A.A.A.S.	NN
A.A.B.B.	NN
A.A.C.P.	NN
A.A.D.	NN
A.A.D.P.	NN
A.A.D.R.	NN
A.A.D.S.	NN
A.A.E.	NN
A.A.F.P.	NN
A.A.G.P.	NN
A.A.I.	NN
A.A.I.D.	NN
A.A.I.N.	NN
A.A.M.A.	NN
A.A.M.C.	NN
A.A.M.D.	NN
A.A.M.R.L.	NN
A.A.O.	NN
A.A.O.P.	NN
A.A.P.	NN
A.A.P.A.	NN
A.A.P.B.	NN
A.A.P.M.R.	NN
A.A.P.S.	NN
A.B.E.P.P.	NN
A.C.	NN
A.C.A.	NN
A.C.G.	NN
A.C.H.A.	NN
A.C.N.M.	NN
A.C.O.G.	NN
A.C.O.H.A.	NN
A.C.O.O.G.	NN
A.C.O.S.	NN
A.C.P.	NN
A.C.R.	NN
A.C.S.	NN
A.C.S.M.	NN
A.D.	NN
A.D.A.	NN
A.E.	NN
A.E.S.	NN
A.G.A.	JJ
A.G.S.	NN
A.H.A.	NN
A.H.P.	NN
A.H.S.	NN
A.I.	NN
A.I.C.	NN
A.I.H.	NN
A.I.H.A.	NN
A.L.A.	NN
A.L.R.O.S.	NN
A.M.	NN
A.M.A.	NN
A.M.R.L.	NN
A.M.S.	NN
A.M.S.A.	NN
A.M.W.A.	NN
A.N.A.	NN
A.O.A.	NN
A.O.P.A.	NN
A.O.S.	NN
A.O.T.A.	NN
A.P.A.	NN
A.P.H.A.	NN
A.P.M.	NN
A.P.S.	NN
A.P.T.A.	NN
A.Ph.A.	NN
A.R.C.	NN
A.R.M.H.	NN
A.R.N.M.D.	NN
A.R.O.	NN
A.R.R.S.	NN
A.R.S.	NN
A.R.T.	NN
A.S.A.I.O.	NN
A.S.B.	NN
A.S.C.H.	NN
A.S.C.I.	NN
A.S.C.L.T.	NN
A.S.C.P.	NN
A.S.G.	NN
A.S.H.	NN
A.S.H.A.	NN
A.S.H.I.	NN
A.S.H.P.	NN
A.S.I.I.	NN
A.S.I.M.	NN
A.S.M.	NN
A.S.P.	NN
A.S.R.T.	NN
A.S.T.M.H.	NN
A.U.	NN
Act.	NN
Alta.	NN
Anat.	NN
Apr.	NN
Aq.	NN
As.M.	NN
Au.D.	NN
Aug.	NN
B.A.	NN
B.B.B.	NN
B.D.A.	NN
B.D.S.	NN
B.D.Sc.	NN
B.F.A.	NN
B.L.R.O.A.	NN
B.M.	NN
B.M.A.	NN
B.M.S.	NN
